"","SUNSID","Acres","BUFF_DIST","Method","Start","Buff03km","Buffer05km","Buffer1km","Buff03SLR2","Buff05SLR2ft","Buff1SLR2ft","Buff03SFHA","Buff05SFHA","Buff1SFHA"
"172","APA07",1.12000000476837,300,"Census_pop20","Footprint",169.050889859822,NA,NA,0.402345402978777,NA,NA,58.5655575638187,NA,NA
"173","APA07",1.12000000476837,300,"ParcelAll_bldgcnt","Footprint",123,NA,NA,1,NA,NA,43,NA,NA
"174","APA07",1.12000000476837,300,"ParcelRes_count","Footprint",121,NA,NA,1,NA,NA,56,NA,NA
"175","APA07",1.12000000476837,300,"ParcelAll_count","Footprint",199,NA,NA,11,NA,NA,98,NA,NA
"176","FRA12",2.80999994277954,300,"Landscan_pop","Footprint",2,NA,NA,0,NA,NA,2,NA,NA
"177","FRA12",2.80999994277954,300,"Census_pop20","Footprint",31.2877106274682,NA,NA,4.44911395385682,NA,NA,31.2877105352566,NA,NA
"178","FRA12",2.80999994277954,300,"ParcelAll_bldgcnt","Footprint",37,NA,NA,8,NA,NA,37,NA,NA
"179","FRA12",2.80999994277954,300,"ParcelRes_count","Footprint",44,NA,NA,23,NA,NA,44,NA,NA
"180","FRA12",2.80999994277954,300,"ParcelAll_count","Footprint",104,NA,NA,43,NA,NA,104,NA,NA
"181","FRA08",225.940002441406,300,"Landscan_pop","Footprint",286,NA,NA,13,NA,NA,285,NA,NA
"182","FRA08",225.940002441406,300,"Census_pop20","Footprint",89.524431098909,NA,NA,6.40895227287537,NA,NA,89.32702924207,NA,NA
"183","FRA08",225.940002441406,300,"ParcelAll_bldgcnt","Footprint",402,NA,NA,26,NA,NA,402,NA,NA
"184","FRA08",225.940002441406,300,"ParcelRes_count","Footprint",418,NA,NA,183,NA,NA,418,NA,NA
"185","FRA08",225.940002441406,300,"ParcelAll_count","Footprint",689,NA,NA,328,NA,NA,689,NA,NA
"186","BAY01",674.590026855469,300,"Landscan_pop","Footprint",78,NA,NA,4,NA,NA,50,NA,NA
"187","BAY01",674.590026855469,300,"Census_pop20","Footprint",149.35877116899,NA,NA,10.9219691418202,NA,NA,76.7676017144067,NA,NA
"188","BAY01",674.590026855469,300,"ParcelAll_bldgcnt","Footprint",106,NA,NA,2,NA,NA,60,NA,NA
"189","BAY01",674.590026855469,300,"ParcelRes_count","Footprint",93,NA,NA,20,NA,NA,62,NA,NA
